Id,Locality,House or appartment?,Subtype,Price,Type of sale,Number of rooms,Living area,Fully equipped kitchen,Furnished,Open fire,Terrace,Area of terrace,Garden,Area of garden,Land surface,Number of facades,Swimming pool,State of building
10297371,Brussels City,APARTMENT,APARTMENT,229000.0,BUY_REGULAR,1.0,36.0,None,None,0,1,4,None,None,None,2,None,
10297353,Jette,APARTMENT,APARTMENT,279000.0,BUY_REGULAR,3.0,90.0,0,None,0,None,None,1,67,None,2,None,AS_NEW
10132948,Woluwe-Saint-Pierre,HOUSE,HOUSE,849000.0,BUY_REGULAR,4.0,300.0,1,None,0,1,10,1,75,152,2,0,TO_RENOVATE
10292629,Brussels,HOUSE,HOUSE,980000.0,BUY_REGULAR,6.0,360.0,0,None,0,1,50,1,350,541,2,0,AS_NEW
10287085,Uccle,HOUSE,HOUSE,450000.0,BUY_REGULAR,3.0,131.0,0,None,0,None,None,1,77,175,2,0,TO_RENOVATE
10294906,Jette,APARTMENT,APARTMENT,169000.0,BUY_REGULAR,2.0,74.0,0,None,0,1,14,None,None,None,,None,TO_RENOVATE
10282908,Bruxelles,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,None,None,0,None,None,None,None,None,None,None,None
10276718,Anderlecht,APARTMENT,APARTMENT,199000.0,BUY_REGULAR,2.0,77.0,0,None,0,1,1,None,None,None,2,0,GOOD
10276671,Uccle,APARTMENT,APARTMENT,695000.0,BUY_REGULAR,2.0,,0,None,0,1,19,None,None,None,,0,
10278703,Woluwe-Saint-Pierre,APARTMENT,APARTMENT,395000.0,BUY_REGULAR,2.0,97.0,1,None,0,1,None,None,None,None,,0,AS_NEW
10299457,Ixelles,HOUSE,EXCEPTIONAL_PROPERTY,765000.0,BUY_REGULAR,6.0,378.0,None,None,0,None,None,None,None,106,2,None,
10301453,Anderlecht,APARTMENT,PENTHOUSE,375000.0,BUY_REGULAR,3.0,140.0,None,None,0,1,20,None,None,None,2,0,JUST_RENOVATED
10296516,Brussels City,HOUSE,HOUSE,595000.0,BUY_REGULAR,4.0,281.0,0,None,0,1,None,None,None,0,2,None,GOOD
10289097,Etterbeek,APARTMENT,APARTMENT,425000.0,BUY_REGULAR,2.0,125.0,None,None,0,None,None,None,None,None,2,0,GOOD
